"213297","その他防虫・除湿・乾燥剤","ソノタボウチユウ,ジヨシ"
"2133","殺虫剤","サツチユウザイ"
"213301","殺虫剤","サツチユウザイ"
"213303","蚊取り線香","カトリセンコウ"
"213305","蚊取りマット・リキッド","カトリマツト,リキツド"
"213307","電子蚊取り器","デンシカトリキ"
"213309","ゴキブリ捕獲器","ゴキブリホカクキ"
"213311","虫よけ剤・虫よけ器","ムシヨケザイ,ムシヨケキ"
"213397","その他殺虫剤","ソノタサツチユウザイ"
"2198","その他日用雑貨","ソノタニチヨウザツカ"
"219801","浄水剤","ジヨウスイザイ"
"219897","その他日用雑貨","ソノタニチヨウザツカ"
"22","OTC医薬品類","OTCイヤクヒンルイ"
"2211","精神神経用薬","セイシンシンケイヨウヤク"
"221101","解熱鎮痛薬","ゲネツチンツウヤク"
"221103","かぜ薬","カゼグスリ"
"221105","鎮静薬・催眠鎮静薬","チンツウヤク,サイミンチンセ"
"221107","眠気防止剤","ネムケボウシザイ"
"221109","小児鎮静薬(小児五疳薬)","シヨウニヨウチンセイヤク(シ"
"221111","睡眠改善薬","スイミンカイゼンヤク"
"221197","その他の精神神経用薬","ソノタノセイシンシンケイヨウ"
"2212","呼吸器官用薬","コキユウキカンヨウヤク"
"221201","鎮咳去たん薬","チンガイキヨタンヤク"
"221203","うがい薬","ウガイグスリ"
"221297","その他の呼吸器官用薬","ソノタノコキユウキカンヨウヤ"
"2213","循環器官用薬","ジユンカンキカンヨウヤク"
"221301","強心薬","キヨウシンヤク"
"221303","高コレステロール低下薬","コウコレステロールテイカヤク"
"221305","貧血用薬","ヒンケツヨウヤク"
"221397","その他の循環器官用薬","ソノタノジユンカンキカンヨ"
"2214","消化器官用薬","シヨウカキカンヨウヤク"
"221401","胃腸薬","イチヨウヤク"
"221403","整腸薬","セイチヨウヤク"
"221405","止しゃ薬(下痢止め)","シシヤヤク(ゲリドメ)"
"221407","胃腸鎮痛鎮痙薬","イチヨウチンツウチンケイヤク"
"221409","浣腸薬","カンチヨウヤク"
"221411","便秘薬","ベンピヤク"
"221413","駆虫薬","クチユウヤク"
"221497","その他の消化器官用薬","ソノタノシヨウカキカンヨウヤ"
"2215","アレルギー用薬","アレルギーヨウヤク"
"221501","内服アレルギー用薬","ナイフクアレルギーヨウヤク"
"221597","その他のアレルギー用薬","ソノタノアレルギーヨウヤク"
